cutoff_score,department,college,community,ex_serviceman,sports,differently_abled
200,ME,1,BC,no,no,no
200,EC,1,BC,no,no,no
200,CS,1,BC,no,no,no
199.5,CS,1,MBC/DNC,no,no,no
199.5,EE,1,BC,no,no,no
199.33,CS,1,MBC/DNC,no,no,no
199,CS,1,OC,no,no,no
199,CS,1,BC,no,no,no
198.75,CS,1,BCM,no,no,no
198.75,EC,1,BC,no,no,no
198.75,CS,1,BC,no,no,no
198.75,CS,1,BC,no,no,no
198.67,CS,1,OC,no,no,no
198.5,EC,1,BC,no,no,no
198.5,CS,1,SC,no,no,no
198.5,EC,1,BC,no,no,no
198.5,CS,1,BC,no,no,no
198.5,CS,1,BC,no,no,no
198.5,MI,1,BC,no,no,no
198.5,CS,1,BC,no,no,no
198.33,EE,1,BC,no,no,no
198.25,BY,1,SC,no,no,no
198.25,EC,1,OC,no,no,no
198.25,EC,1,MBC/DNC,no,no,no
198,CS,1,BC,no,no,no
198,CS,1,OC,no,no,no
198,EC,1,BC,no,no,no
198,ME,1,SCA,no,no,no
198,CS,1,BC,no,no,no
198,CS,1,BC,no,no,no
198,CS,1,BC,no,no,no
198,EC,1,BC,no,no,no
198,CS,1,BC,no,no,no
198,EC,1,BC,no,no,no
198,EC,1,BC,no,no,no
198,CS,1,BC,no,no,no
198,IM,1,OC,no,no,no
198,CM,1,OC,no,no,no
197.75,EE,1,MBC/DNC,no,no,no
197.75,CS,1,SC,no,no,no
197.67,EC,1,OC,no,no,no
197.5,CS,1,BCM,no,no,no
197.5,CS,1,BC,no,no,no
197.5,CM,1,OC,no,no,no
197.5,CM,1,OC,no,no,no
197.5,CS,1,BCM,no,no,no
197.5,EC,1,BCM,no,no,no
197.5,ME,1,OC,no,no,no
197.33,CM,1,BCM,no,no,no
197.33,CM,1,BC,no,no,no
197.25,CS,1,BC,no,no,no
197.25,CM,1,BCM,no,no,no
197.25,CS,1,BC,no,no,no
197.25,CM,1,OC,no,no,no
197.25,EC,1,BCM,no,no,no
197,CS,1,BC,no,no,no
197,EC,1,BCM,no,no,no
197,CS,1,BC,no,no,no
197,CE,1,MBC/DNC,no,no,no
197,ME,1,BC,no,no,no
197,EC,1,BC,no,no,no
197,CM,1,OC,no,no,no
197,CS,1,BC,no,no,no
197,CS,1,BC,no,no,no
197,CS,1,BC,no,no,no
197,CM,1,OC,no,no,no
197,EC,1,MBC/DNC,no,no,no
196.75,EC,1,BC,no,no,no
196.75,CS,1,BC,no,no,no
196.75,EC,1,BC,no,no,no
196.75,CS,1,BC,no,no,no
196.75,EE,1,BC,no,no,no
196.67,CS,1,SC,no,no,no
196.67,EE,1,BC,no,no,no
196.5,ME,1,BC,no,no,no
196.5,CS,1,BC,no,no,no
196.5,CM,1,OC,no,no,no
196.5,EM,1,OC,no,no,no
196.5,CS,1,BC,no,no,no
196.5,EE,1,MBC/DNC,no,no,no
196.5,CM,1,OC,no,no,no
196.5,CS,1,MBC/DNC,no,no,no
196.5,EC,1,BC,no,no,no
196.5,CS,1,MBC/DNC,no,no,no
196.5,CM,1,BC,no,no,no
196.5,CM,1,BC,no,no,no
196.5,ME,1,BC,no,no,no
196.5,EC,1,BC,no,no,no
196.5,EC,1,MBC/DNC,no,no,no
196.5,EE,1,MBC/DNC,no,no,no
196.5,EE,1,BC,no,no,no
196.5,EC,1,BC,no,no,no
196.5,EC,1,BC,no,no,no
196.25,EE,1,BCM,no,no,no
196.25,EC,1,BCM,no,no,no
196.25,CS,1,MBC/DNC,no,no,no
196.25,EC,1,BC,no,no,no
196.25,CM,1,BC,no,no,no
196.25,EC,1,BC,no,no,no
196,EC,1,BC,no,no,no
196,EC,1,BC,no,no,no
196,CS,1,MBC/DNC,no,no,no
196,CM,1,BC,no,no,no
196,EC,1,BC,no,no,no
196,CM,1,BC,no,no,no
196,EC,1,SC,no,no,no
196,CM,1,BC,no,no,no
196,EC,1,BC,no,no,no
196,CM,1,OC,no,no,no
196,CM,1,BC,no,no,no
196,CS,1,MBC/DNC,no,no,no
196,EC,1,BC,no,no,no
196,CM,1,OC,no,no,no
196,CM,1,BCM,no,no,no
196,CM,1,OC,no,no,no
196,CM,1,BC,no,no,no
196,ME,1,OC,no,no,no
196,EC,1,BC,no,no,no
196,CM,1,BC,no,no,no
195.75,EC,1,BC,no,no,no
195.75,CS,1,SC,no,no,no
